Email,Active
MartinGenesis@Amazon.org,1
GarciaMartin@McKesson.org,1
WilsonSerenity@Gazprom.org,1
ChavezBradley@Foxconn.org,1
LeeClaire@Chevron.org,1
RogersIan@SamsungElectronics.org,1
ParkerEthan@IndustrialandCommercialBankofChina.org,1
MartinezKylie@ExxonMobil.org,1
LewisMikayla@PingAnInsurance.org,1
GreenOscar@Cigna.org,1
HarrisMark@ChinaRailwayConstructionCorporation.org,1
BakerTiffany@ChinaNationalOffshoreOilCorporation.org,0
AllenNoah@Apple.org,0
GrayLucy@Cargill.org,1
NelsonRylee@Stellantis.org,1
MurphyCaroline@Costco.org,1
WatsonEric@ChinaPetrochemicalCorporation.org,1
EvansBrendan@Foxconn.org,1
PriceKaylee@Costco.org,1
CampbellNathaniel@Mercedes-BenzGroup.org,1
CarterElias@IndustrialandCommercialBankofChina.org,1
LongSerenity@BP.org,1
BakerPaul@Apple.org,0
CarterDakota@SaudiAramco.org,1
WardJustin@ChinaConstructionBank.org,1
StewartHope@MarathonPetroleum.org,1
BennetAndrew@Microsoft.org,1
KellyJackson@AmerisourceBergen.org,1
ThompsonKimberly@Amazon.org,1
PatelXavier@Mercedes-BenzGroup.org,1
AllenMario@McKesson.org,1
CastilloFrancisco@Costco.org,1
ThomasKelsey@SchwarzGruppe.org,0
HarrisCameron@ChinaNationalOffshoreOilCorporation.org,1
KellyJavier@ValeroEnergy.org,1
MyersDevon@SaudiAramco.org,1
HarrisSkylar@Costco.org,1
MurphyMatthew@Alphabet.org,1
GutierrezMakenzie@FordMotorCompany.org,1
CookMakenzie@Stellantis.org,0
HughesAdrian@Cargill.org,1
JohnsonIsaac@StateGridCorporationofChina.org,1
PetersonAbigail@FordMotorCompany.org,1
ScottKyle@SchwarzGruppe.org,1
TaylorMia@Apple.org,1
LopezLayla@ValeroEnergy.org,1
HernandezRyan@Vitol.org,1
GraySamantha@StateGridCorporationofChina.org,1
CastilloSabrina@Mercedes-BenzGroup.org,1
CookBraden@SchwarzGruppe.org,1
LewisSydney@Walmart.org,1
GrayWilliam@Amazon.org,1
CookConner@Glencore.org,1
LeeJade@CardinalHealth.org,1
HillAngelina@Shell.org,0
BennetCarter@PingAnInsurance.org,1
MorganCesar@MarathonPetroleum.org,1
ChavezLeslie@PingAnInsurance.org,1
GreenEmmanuel@BerkshireHathaway.org,1
MendozaMia@BP.org,1
RamirezNaomi@Cigna.org,1
GonzalesAnna@ChinaConstructionBank.org,1
LeeNevaeh@CardinalHealth.org,1
CastilloKennedy@SamsungElectronics.org,0
WilliamsBraden@ExxonMobil.org,1
RichardsonJose@SaudiAramco.org,1
MorganMalachi@Baowu.org,1
JonesAyden@ChinaStateConstructionEngineering.org,1
RossJack@FordMotorCompany.org,1
HillMelanie@ExxonMobil.org,1
MyersMelissa@VolkswagenGroup.org,1
HillAlexandria@TotalEnergies.org,1
FosterKennedy@ChinaNationalOffshoreOilCorporation.org,1
BrooksColby@Alphabet.org,0
SmithJasmine@ChinaNationalOffshoreOilCorporation.org,1
JonesDakota@Trafigura.org,1
AlvarezJosiah@Uniper.org,1
CooperCrystal@Baowu.org,1
GomezJake@Phillips66.org,1
HarrisLillian@Sinochem.org,1
GutierrezXavier@Amazon.org,1
MartinezCaden@ChinaNationalPetroleumCorporation.org,0
MillerPreston@FordMotorCompany.org,1
YoungCaroline@ExxonMobil.org,0
ThomasCharlotte@FordMotorCompany.org,1
EvansHope@ChinaConstructionBank.org,1
TurnerDaniela@CVSHealth.org,0
PetersonJavier@Apple.org,1
GrayAbby@MitsubishiGroup.org,1
ReyesKatherine@McKesson.org,1
MendozaOwen@StateGridCorporationofChina.org,0
ScottIsaiah@Stellantis.org,1
ParkerCarter@McKesson.org,1
LopezKathryn@Amazon.org,1
WilsonKylee@MarathonPetroleum.org,1
MillerAlondra@CardinalHealth.org,1
CookBrianna@ChinaPetrochemicalCorporation.org,1
OrtizJayla@Chevron.org,1
TaylorAntonio@BP.org,1
ScottZachary@ChinaRailwayConstructionCorporation.org,1
MartinTrenton@Costco.org,1
TurnerCristian@Baowu.org,1
BrooksNicholas@ChinaPetrochemicalCorporation.org,1
AndersonBrendan@Gazprom.org,1
MartinKarina@Trafigura.org,1
JimenezMarco@Baowu.org,1
ParkerKatelyn@Costco.org,1
BrooksMelanie@Trafigura.org,1
CollinsDavid@Alphabet.org,1
HowardRachel@Cigna.org,1
RobinsonGracie@ChinaRailwayEngineeringCorporation.org,1
MillerJacqueline@VolkswagenGroup.org,1
MitchellBrandon@FordMotorCompany.org,1
GomezJeremy@AmerisourceBergen.org,1
KimGabrielle@ChinaNationalPetroleumCorporation.org,1
YoungBenjamin@Vitol.org,1
WilsonSergio@ChinaNationalOffshoreOilCorporation.org,1
GomezLucas@IndustrialandCommercialBankofChina.org,1
CookGarrett@Sinochem.org,1
PetersonEmmanuel@Costco.org,1
HillJames@Trafigura.org,1
LongJessica@Chevron.org,1
FosterLeah@Trafigura.org,0
MartinEduardo@Glencore.org,1
AndersonParker@ChinaStateConstructionEngineering.org,1
GonzalesSophie@CardinalHealth.org,1
HowardJavier@ChinaRailwayEngineeringCorporation.org,1
DavisMaxwell@Sinochem.org,0
WalkerEric@Apple.org,1
AlvarezAustin@Alphabet.org,1
GomezAlyssa@Walmart.org,0
GreenBrianna@ChinaConstructionBank.org,1
ThompsonOscar@ChinaConstructionBank.org,0
HowardEvelyn@Shell.org,1
BrownLiliana@Chevron.org,1
BakerVanessa@McKesson.org,1
ReedKaylee@CardinalHealth.org,1
RamosKelly@TotalEnergies.org,1
CampbellDaniela@VolkswagenGroup.org,1
AlvarezPatrick@Stellantis.org,1
ReedCamila@PingAnInsurance.org,1
WoodEmma@Uniper.org,1
StewartMarcus@BerkshireHathaway.org,1
ReyesMichelle@Cigna.org,1
WilsonMikayla@IndustrialandCommercialBankofChina.org,1
AndersonMargaret@Trafigura.org,1
WhiteOlivia@SchwarzGruppe.org,1
LopezAlana@AmerisourceBergen.org,1
RodriguezMiguel@AgriculturalBankofChina.org,1
SanchezSergio@Stellantis.org,1
MillerTimothy@Cigna.org,1
SmithTyler@ExxonMobil.org,1
DavisRaymond@CVSHealth.org,1
WoodHaley@Costco.org,1
ThomasTimothy@Stellantis.org,1
ScottKelly@CardinalHealth.org,1
ParkerGiovanni@Microsoft.org,1
DiazAyden@Chevron.org,0
DiazChelsea@Toyota.org,1
TurnerShawn@Apple.org,1
MyersDaniela@Glencore.org,0
CarterAaliyah@Foxconn.org,1
TurnerJillian@Sinochem.org,1
CampbellDiego@ExxonMobil.org,1
BaileyPaige@Apple.org,1
WilsonSergio@McKesson.org,1
BaileyAndres@Chevron.org,1
DavisKenneth@Costco.org,0
PatelElijah@SchwarzGruppe.org,1
CarterAllison@PingAnInsurance.org,1
EdwardsEmmanuel@Foxconn.org,0
BaileyMary@BP.org,0
JimenezBrooklyn@CardinalHealth.org,1
HillDelaney@CardinalHealth.org,1
AllenSergio@SaudiAramco.org,1
WalkerPaige@SaudiAramco.org,1
CampbellSergio@Cargill.org,1
BrownKatelyn@StateGridCorporationofChina.org,1
MorrisTrenton@Costco.org,1
TaylorGiselle@ChinaNationalOffshoreOilCorporation.org,1
WatsonAutumn@PingAnInsurance.org,1
KingBrooke@ValeroEnergy.org,1
FloresJazmin@Glencore.org,1
ReyesValeria@ChinaNationalPetroleumCorporation.org,1
KingKaylee@Vitol.org,1
TaylorPatrick@Shell.org,1
CampbellNathan@Vitol.org,1
KimAshlyn@Trafigura.org,1
YoungGenesis@StateGridCorporationofChina.org,0
ParkerKevin@SaudiAramco.org,1
LopezAna@Alphabet.org,1
JonesRylee@SaudiAramco.org,1
JamesKaitlyn@Sinochem.org,0
DiazJoshua@TotalEnergies.org,1
OrtizKennedy@Trafigura.org,1
PatelMelissa@Cargill.org,1
GreenLuke@Uniper.org,1
MartinezAlyssa@Amazon.org,1
TurnerGavin@McKesson.org,1
ReedJoel@UnitedHealthGroup.org,1
CarterMakenzie@Amazon.org,1
ReyesKatie@Gazprom.org,1
MartinezMadelyn@Chevron.org,1
HowardCole@Chevron.org,1
MartinezJonah@SamsungElectronics.org,1
GonzalesPaul@CardinalHealth.org,1
RichardsonMarco@Sinochem.org,1
BaileyMia@Cigna.org,1
CastilloJason@ChinaStateConstructionEngineering.org,1
LopezWesley@Gazprom.org,0
GarciaTanner@MitsubishiGroup.org,1
NguyenBrooke@ValeroEnergy.org,1
AllenJocelyn@Stellantis.org,1
ParkerNicolas@MitsubishiGroup.org,1
RiveraKayla@TotalEnergies.org,1
JimenezSarah@AgriculturalBankofChina.org,1
RuizSebastian@CVSHealth.org,1
SanchezAngelica@Glencore.org,1
GomezSebastian@StateGridCorporationofChina.org,1
TaylorDiego@ChinaNationalPetroleumCorporation.org,1
LopezMax@CVSHealth.org,1
MoralesBrody@Shell.org,1
TaylorCharles@MarathonPetroleum.org,1
AdamsSavannah@ChinaRailwayConstructionCorporation.org,1
FloresSergio@PingAnInsurance.org,1
PatelCheyenne@Cigna.org,1
YoungPatrick@McKesson.org,1
ClarkEdgar@ChinaRailwayConstructionCorporation.org,1
ParkerSerenity@SaudiAramco.org,0
HallJayla@Cargill.org,1
JohnsonConnor@Gazprom.org,1
HowardCharlotte@Vitol.org,1
NguyenAriana@ChinaNationalPetroleumCorporation.org,0
DavisJacob@SaudiAramco.org,1
WardIsabel@SaudiAramco.org,1
NguyenAlana@Amazon.org,1
MorrisCameron@Costco.org,1
DiazAllison@ChinaStateConstructionEngineering.org,0
MoralesEli@Trafigura.org,1
AlvarezAdam@SaudiAramco.org,1
SanchezZoey@Foxconn.org,1
MitchellSamuel@Sinochem.org,1
PriceJesse@ChinaRailwayEngineeringCorporation.org,0
CooperMackenzie@CardinalHealth.org,1
CampbellTimothy@StateGridCorporationofChina.org,1
MartinSean@StateGridCorporationofChina.org,1
GrayJazmin@PingAnInsurance.org,1
SandersMackenzie@ChinaNationalPetroleumCorporation.org,1
MartinShelby@Trafigura.org,0
GutierrezSteven@Foxconn.org,1
OrtizCameron@Walmart.org,1
ChavezDanielle@Gazprom.org,1
RobinsonLevi@Apple.org,1
JamesFernando@MitsubishiGroup.org,0
LongRaymond@Alphabet.org,1
DiazAlana@Gazprom.org,1
BrownTimothy@FordMotorCompany.org,1
KellyJuliana@Walmart.org,1
JohnsonCharles@Apple.org,0
MooreCaitlyn@VolkswagenGroup.org,1
JamesKaren@Stellantis.org,1
WardShawn@Cargill.org,1
BrownKennedy@CardinalHealth.org,1
MorrisPeyton@ExxonMobil.org,1
BakerColby@ChinaRailwayConstructionCorporation.org,1
DavisManuel@MitsubishiGroup.org,1
HughesNicholas@MarathonPetroleum.org,1
MooreNicolas@Sinochem.org,1
HillTrevor@Cigna.org,1
NguyenKaden@Walmart.org,1
DavisMikayla@SchwarzGruppe.org,1
WalkerAnna@Foxconn.org,1
ReyesHector@Cigna.org,1
ParkerDevon@PingAnInsurance.org,1
WilsonJade@ValeroEnergy.org,1
SandersTristan@Toyota.org,1
MartinEthan@Chevron.org,1
MurphyChristina@Vitol.org,0
MoralesJessica@PingAnInsurance.org,0
RobinsonDanielle@Glencore.org,1
OrtizBrayden@ChinaNationalOffshoreOilCorporation.org,1
TaylorJasmine@SchwarzGruppe.org,1
MendozaBryan@ChinaStateConstructionEngineering.org,0
ThomasElizabeth@ChinaRailwayConstructionCorporation.org,1
BrownRobert@MitsubishiGroup.org,1
MartinLandon@Shell.org,1
TorresGenesis@ValeroEnergy.org,1
PhillipsStephen@ChinaNationalPetroleumCorporation.org,1
SmithSara@SchwarzGruppe.org,1
LongEva@ExxonMobil.org,1
RodriguezLeonardo@PingAnInsurance.org,1
KellyAlex@ChinaNationalOffshoreOilCorporation.org,1
MartinJonah@SchwarzGruppe.org,1
BrownKelly@McKesson.org,1
CruzCollin@Mercedes-BenzGroup.org,1
BennetVanessa@Shell.org,1
RobertsAdriana@PingAnInsurance.org,0
WhiteLogan@ValeroEnergy.org,1
MillerSophie@ChinaRailwayConstructionCorporation.org,1
CastilloNathaniel@Walmart.org,1
TurnerMaya@ChinaRailwayConstructionCorporation.org,1
MillerSarah@PingAnInsurance.org,1
JohnsonKylie@Phillips66.org,1
HowardGrant@PingAnInsurance.org,1
RiveraDerek@MitsubishiGroup.org,1
MurphyJared@Cargill.org,1
SanchezJenna@Trafigura.org,1
TurnerKylee@Phillips66.org,1
DiazDaniel@IndustrialandCommercialBankofChina.org,1
AdamsVeronica@ChinaNationalPetroleumCorporation.org,1
EdwardsChase@Cigna.org,1
CruzSara@McKesson.org,1
AndersonJaden@McKesson.org,1
HallSamuel@FordMotorCompany.org,1
SandersAidan@UnitedHealthGroup.org,1
WoodKaitlyn@ChinaRailwayEngineeringCorporation.org,1
WilsonChelsea@Costco.org,1
RodriguezJosiah@BP.org,1
RamosDevon@CardinalHealth.org,1
BennetMakayla@Sinochem.org,1
MooreColby@ChinaConstructionBank.org,1
CruzEllie@Costco.org,1
KimZachary@BP.org,1
AlvarezCaden@Toyota.org,0
AdamsPreston@ChinaConstructionBank.org,1
RossGiselle@VolkswagenGroup.org,0
SmithEvelyn@SaudiAramco.org,1
HughesSpencer@Phillips66.org,0
KimAlexandra@Uniper.org,0
RiveraIsaac@Microsoft.org,1
StewartVanessa@StateGridCorporationofChina.org,1
LewisPeyton@SamsungElectronics.org,1
RamosAlejandro@VolkswagenGroup.org,1
WilliamsAlondra@ChinaNationalPetroleumCorporation.org,1
RiveraArianna@Walmart.org,1
CooperDestiny@MitsubishiGroup.org,1
MorrisBrady@Gazprom.org,1
DiazMaya@Stellantis.org,1
TaylorNolan@ChinaConstructionBank.org,0
BennetCristian@AgriculturalBankofChina.org,1
GutierrezSofia@CardinalHealth.org,0
SmithColin@UnitedHealthGroup.org,1
HowardJenna@VolkswagenGroup.org,1
LongNolan@Phillips66.org,1
HallParker@Glencore.org,0
StewartTrenton@Cigna.org,1
WoodMadeline@Glencore.org,1
MillerAlexander@McKesson.org,1
TorresSara@Shell.org,1
ThomasAbby@ChinaNationalPetroleumCorporation.org,1
ClarkSophia@SchwarzGruppe.org,1
PriceIsabelle@MarathonPetroleum.org,1
GomezDakota@Glencore.org,1
ReedRyan@Apple.org,1
KimJack@Stellantis.org,1
WatsonIsabel@Costco.org,1
EdwardsJared@ChinaNationalPetroleumCorporation.org,1
HernandezJasmin@Uniper.org,1
SandersDevin@PingAnInsurance.org,1
CoxGrant@Alphabet.org,1
LongChloe@ChinaRailwayConstructionCorporation.org,1
SandersSummer@BerkshireHathaway.org,1
MartinezJaden@BerkshireHathaway.org,1
LongAngel@Phillips66.org,1
CastilloShawn@Glencore.org,0
CastilloKatelyn@Alphabet.org,1
JamesJake@AgriculturalBankofChina.org,1
ScottSamantha@Walmart.org,1
JacksonBlake@ChinaConstructionBank.org,1
CastilloRicardo@SamsungElectronics.org,1
BakerWilliam@ChinaStateConstructionEngineering.org,1
MurphyTiffany@MarathonPetroleum.org,1
ThompsonSergio@SamsungElectronics.org,1
PhillipsCooper@TotalEnergies.org,1
WoodLucy@BP.org,1
CoxCassandra@Shell.org,1
RiveraStephen@Walmart.org,1
PetersonValeria@TotalEnergies.org,1
StewartHenry@Trafigura.org,1
YoungKaitlyn@Cargill.org,1
ThompsonDestiny@Walmart.org,1
WilliamsIsaiah@Costco.org,1
